"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"80002920000","89399","Unincorporated ACT","8","Australian Capital Territory",0.457813
"80002930000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00753207
"80002940000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0536589
"80002950000","89399","Unincorporated ACT","8","Australian Capital Territory",0.040315
"80002961000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0724658
"80002962000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0332353
"80002963000","89399","Unincorporated ACT","8","Australian Capital Territory",0.171743
"80002965000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0612346
"80002970000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0586776
"80002981000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0438114
"80002982000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0103019
"80002983000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00992104
"80002984000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00938569
"80002985000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00700865
"80002991000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0600699
"80002992000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0391834
"80002993000","89399","Unincorporated ACT","8","Australian Capital Territory",0.055353
"80002994000","89399","Unincorporated ACT","8","Australian Capital Territory",0.054004
"80002995000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0388407
"80002996000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0289771
"80003000000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0441334
"80003011000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0247099
"80003012000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00970867
"80003013000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0244276
"80003014000","89399","Unincorporated ACT","8","Australian Capital Territory",0.017489
"80003015000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0139739
"80003020000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0138107
"80003030000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00961981
"80003040000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0107388
"80003050000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0118468
"80003060000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00783172
"80003070000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0136733
"80003080000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0110608
"80003090000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0340107
"80003100000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0147092
"80003120000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0242012
"80003130000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0138919
"80003140000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0535849
"80003150000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0178766
"80003160000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0358484
"80003170000","89399","Unincorporated ACT","8","Australian Capital Territory",0.009761
"80003180000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0179753
"80003190000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0258969
"80003201000","89399","Unincorporated ACT","8","Australian Capital Territory",0.255591
"80003202000","89399","Unincorporated ACT","8","Australian Capital Territory",0.12947
"80003211000","89399","Unincorporated ACT","8","Australian Capital Territory",0.115817
"80003212000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0310936
"80003220000","89399","Unincorporated ACT","8","Australian Capital Territory",0.011304
"80003240000","89399","Unincorporated ACT","8","Australian Capital Territory",19.3321
"80003250000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0365177
"80003260000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0405163
"80003270000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0578307
"80003280000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0578601
"80003290000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0423194
"80003301000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0410104
"80003302000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00895851
"80003303000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0127759
"80003304000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00882992
"80003311000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0110173
"80003312000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0469746
"80003313000","89399","Unincorporated ACT","8","Australian Capital Territory",0.021409
"80003320000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0201059
"80003330000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0204354
"80003340000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0513814
"80003350000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0546578
"80003360000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0456664
"80003370000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0348578
"80003380000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0368735
"80003390000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0401414
"80003400000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0548203
"80003410000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0322025
"80003420000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0281792
"80003430000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0388204
"80003440000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0310574
