Census,School Name,Category,Year Level,Students
01 August 2013,Campbell Primary School,Gov,06,31
01 August 2013,"Canberra College, The",Gov,11,591
01 August 2013,"Canberra College, The",Gov,12,386
01 August 2013,Canberra High School,Gov,07,228
01 August 2013,Canberra High School,Gov,08,185
01 August 2013,Canberra High School,Gov,09,180
01 August 2013,Canberra High School,Gov,10,159
01 August 2013,Caroline Chisholm School,Gov,Preschool,59
01 August 2013,Caroline Chisholm School,Gov,Kindergarten,39
01 August 2013,Caroline Chisholm School,Gov,01,45
01 August 2013,Caroline Chisholm School,Gov,02,28
01 August 2013,Caroline Chisholm School,Gov,03,33
01 August 2013,Caroline Chisholm School,Gov,04,26
01 August 2013,Caroline Chisholm School,Gov,05,34
01 August 2013,Caroline Chisholm School,Gov,06,30
01 August 2013,Caroline Chisholm School,Gov,07,70
01 August 2013,Caroline Chisholm School,Gov,08,74
01 August 2013,Caroline Chisholm School,Gov,09,69
01 August 2013,Caroline Chisholm School,Gov,10,61
01 August 2013,Chapman Primary School,Gov,Preschool,84
01 August 2013,Chapman Primary School,Gov,Kindergarten,81
01 August 2013,Chapman Primary School,Gov,01,75
01 August 2013,Chapman Primary School,Gov,02,77
01 August 2013,Chapman Primary School,Gov,03,80
01 August 2013,Chapman Primary School,Gov,04,58
01 August 2013,Chapman Primary School,Gov,05,67
01 August 2013,Chapman Primary School,Gov,06,57
01 August 2013,Charles Conder Primary School,Gov,Preschool,95
01 August 2013,Charles Conder Primary School,Gov,Kindergarten,37
01 August 2013,Charles Conder Primary School,Gov,01,37
01 August 2013,Charles Conder Primary School,Gov,02,33
01 August 2013,Charles Conder Primary School,Gov,03,38
01 August 2013,Charles Conder Primary School,Gov,04,44
01 August 2013,Charles Conder Primary School,Gov,05,25
01 August 2013,Charles Conder Primary School,Gov,06,50
01 August 2013,Charnwood-Dunlop School,Gov,Preschool,90
01 August 2013,Charnwood-Dunlop School,Gov,Kindergarten,46
01 August 2013,Charnwood-Dunlop School,Gov,01,49
01 August 2013,Charnwood-Dunlop School,Gov,02,39
01 August 2013,Charnwood-Dunlop School,Gov,03,34
01 August 2013,Charnwood-Dunlop School,Gov,04,45
01 August 2013,Charnwood-Dunlop School,Gov,05,40
01 August 2013,Charnwood-Dunlop School,Gov,06,36
01 August 2013,Cranleigh School,Gov,Preschool,65
01 August 2013,Cranleigh School,Gov,Kindergarten,10
01 August 2013,Cranleigh School,Gov,01,9
01 August 2013,Cranleigh School,Gov,02,8
01 August 2013,Cranleigh School,Gov,03,6
01 August 2013,Cranleigh School,Gov,04,5
01 August 2013,Cranleigh School,Gov,05,8
01 August 2013,Cranleigh School,Gov,06,12
01 August 2013,Curtin Primary School,Gov,Preschool,80
01 August 2013,Curtin Primary School,Gov,Kindergarten,58
01 August 2013,Curtin Primary School,Gov,01,58
01 August 2013,Curtin Primary School,Gov,02,52
01 August 2013,Curtin Primary School,Gov,03,76
01 August 2013,Curtin Primary School,Gov,04,56
01 August 2013,Curtin Primary School,Gov,05,64
01 August 2013,Curtin Primary School,Gov,06,60
01 August 2013,Dickson College,Gov,07,7
01 August 2013,Dickson College,Gov,08,13
01 August 2013,Dickson College,Gov,09,9
01 August 2013,Dickson College,Gov,10,22
01 August 2013,Dickson College,Gov,11,447
01 August 2013,Dickson College,Gov,12,327
01 August 2013,Duffy Primary School,Gov,Preschool,81
01 August 2013,Duffy Primary School,Gov,Kindergarten,63
01 August 2013,Duffy Primary School,Gov,01,60
01 August 2013,Duffy Primary School,Gov,02,42
01 August 2013,Duffy Primary School,Gov,03,43
01 August 2013,Duffy Primary School,Gov,04,39
01 August 2013,Duffy Primary School,Gov,05,32
01 August 2013,Duffy Primary School,Gov,06,32
01 August 2013,Erindale College,Gov,10,26
01 August 2013,Erindale College,Gov,11,257
01 August 2013,Erindale College,Gov,12,224
01 August 2013,Evatt Primary School,Gov,Preschool,43
01 August 2013,Evatt Primary School,Gov,Kindergarten,38
01 August 2013,Evatt Primary School,Gov,01,41
01 August 2013,Evatt Primary School,Gov,02,50
01 August 2013,Evatt Primary School,Gov,03,38
01 August 2013,Evatt Primary School,Gov,04,36
01 August 2013,Evatt Primary School,Gov,05,38
01 August 2013,Evatt Primary School,Gov,06,46
01 August 2013,Fadden Primary School,Gov,Preschool,42
01 August 2013,Fadden Primary School,Gov,Kindergarten,48
01 August 2013,Fadden Primary School,Gov,01,57
01 August 2013,Fadden Primary School,Gov,02,47
01 August 2013,Fadden Primary School,Gov,03,42
01 August 2013,Fadden Primary School,Gov,04,42
01 August 2013,Fadden Primary School,Gov,05,34
01 August 2013,Fadden Primary School,Gov,06,31
01 August 2013,Farrer Primary School,Gov,Preschool,50
01 August 2013,Farrer Primary School,Gov,Kindergarten,38
01 August 2013,Farrer Primary School,Gov,01,44
01 August 2013,Farrer Primary School,Gov,02,51
01 August 2013,Farrer Primary School,Gov,03,38
01 August 2013,Farrer Primary School,Gov,04,43
01 August 2013,Farrer Primary School,Gov,05,40
01 August 2013,Farrer Primary School,Gov,06,45
01 August 2013,Florey Primary School,Gov,Preschool,82
01 August 2013,Florey Primary School,Gov,Kindergarten,71
01 August 2013,Florey Primary School,Gov,01,64
01 August 2013,Florey Primary School,Gov,02,63
01 August 2013,Florey Primary School,Gov,03,61
01 August 2013,Florey Primary School,Gov,04,47
01 August 2013,Florey Primary School,Gov,05,44
01 August 2013,Florey Primary School,Gov,06,33
01 August 2013,Forrest Primary School,Gov,Preschool,44
01 August 2013,Forrest Primary School,Gov,Kindergarten,59
01 August 2013,Forrest Primary School,Gov,01,56
01 August 2013,Forrest Primary School,Gov,02,60
01 August 2013,Forrest Primary School,Gov,03,82
01 August 2013,Forrest Primary School,Gov,04,62
01 August 2013,Forrest Primary School,Gov,05,66
01 August 2013,Forrest Primary School,Gov,06,73
01 August 2013,Franklin Early Childhood School,Gov,Preschool,70
01 August 2013,Franklin Early Childhood School,Gov,Kindergarten,20
01 August 2013,Franklin Early Childhood School,Gov,01,6
01 August 2013,Franklin Early Childhood School,Gov,02,4
01 August 2013,Fraser Primary School,Gov,Preschool,60
01 August 2013,Fraser Primary School,Gov,Kindergarten,74
01 August 2013,Fraser Primary School,Gov,01,50
01 August 2013,Fraser Primary School,Gov,02,59
01 August 2013,Fraser Primary School,Gov,03,45
01 August 2013,Fraser Primary School,Gov,04,49
01 August 2013,Fraser Primary School,Gov,05,46
01 August 2013,Fraser Primary School,Gov,06,52
01 August 2013,Garran Primary School,Gov,Preschool,47
01 August 2013,Garran Primary School,Gov,Kindergarten,67
01 August 2013,Garran Primary School,Gov,01,75
01 August 2013,Garran Primary School,Gov,02,81
01 August 2013,Garran Primary School,Gov,03,66
01 August 2013,Garran Primary School,Gov,04,85
01 August 2013,Garran Primary School,Gov,05,76
01 August 2013,Garran Primary School,Gov,06,75
01 August 2013,Gilmore Primary School,Gov,Preschool,19
01 August 2013,Gilmore Primary School,Gov,Kindergarten,15
01 August 2013,Gilmore Primary School,Gov,01,22
01 August 2013,Gilmore Primary School,Gov,02,24
01 August 2013,Gilmore Primary School,Gov,03,15
01 August 2013,Gilmore Primary School,Gov,04,28
01 August 2013,Gilmore Primary School,Gov,05,16
01 August 2013,Gilmore Primary School,Gov,06,18
01 August 2013,Giralang Primary School,Gov,Preschool,35
01 August 2013,Giralang Primary School,Gov,Kindergarten,35
01 August 2013,Giralang Primary School,Gov,01,25
01 August 2013,Giralang Primary School,Gov,02,25
01 August 2013,Giralang Primary School,Gov,03,21
01 August 2013,Giralang Primary School,Gov,04,22
01 August 2013,Giralang Primary School,Gov,05,16
01 August 2013,Giralang Primary School,Gov,06,14
01 August 2013,Gold Creek School,Gov,Preschool,147
01 August 2013,Gold Creek School,Gov,Kindergarten,65
01 August 2013,Gold Creek School,Gov,01,65
01 August 2013,Gold Creek School,Gov,02,62
01 August 2013,Gold Creek School,Gov,03,47
01 August 2013,Gold Creek School,Gov,04,57
01 August 2013,Gold Creek School,Gov,05,58
01 August 2013,Gold Creek School,Gov,06,74
01 August 2013,Gold Creek School,Gov,07,118
01 August 2013,Gold Creek School,Gov,08,126
01 August 2013,Gold Creek School,Gov,09,122
01 August 2013,Gold Creek School,Gov,10,152
01 August 2013,Gordon Primary School,Gov,Preschool,113
01 August 2013,Gordon Primary School,Gov,Kindergarten,59
01 August 2013,Gordon Primary School,Gov,01,68
01 August 2013,Gordon Primary School,Gov,02,61
01 August 2013,Gordon Primary School,Gov,03,47
01 August 2013,Gordon Primary School,Gov,04,44
01 August 2013,Gordon Primary School,Gov,05,42
01 August 2013,Gordon Primary School,Gov,06,47
01 August 2013,Gowrie Primary School,Gov,Preschool,46
01 August 2013,Gowrie Primary School,Gov,Kindergarten,29
01 August 2013,Gowrie Primary School,Gov,01,25
01 August 2013,Gowrie Primary School,Gov,02,30
01 August 2013,Gowrie Primary School,Gov,03,31
01 August 2013,Gowrie Primary School,Gov,04,25
01 August 2013,Gowrie Primary School,Gov,05,28
01 August 2013,Gowrie Primary School,Gov,06,19
01 August 2013,Gunghalin College,Gov,10,14
01 August 2013,Gunghalin College,Gov,11,420
01 August 2013,Gunghalin College,Gov,12,295
01 August 2013,Harrison School,Gov,Preschool,129
01 August 2013,Harrison School,Gov,Kindergarten,157
01 August 2013,Harrison School,Gov,01,150
01 August 2013,Harrison School,Gov,02,147
01 August 2013,Harrison School,Gov,03,119
01 August 2013,Harrison School,Gov,04,131
01 August 2013,Harrison School,Gov,05,105
01 August 2013,Harrison School,Gov,06,86
01 August 2013,Harrison School,Gov,07,96
01 August 2013,Harrison School,Gov,08,88
01 August 2013,Harrison School,Gov,09,60
01 August 2013,Hawker College,Gov,11,269
01 August 2013,Hawker College,Gov,12,197
01 August 2013,Hawker Primary School,Gov,Preschool,49
01 August 2013,Hawker Primary School,Gov,Kindergarten,37
01 August 2013,Hawker Primary School,Gov,01,39
01 August 2013,Hawker Primary School,Gov,02,48
01 August 2013,Hawker Primary School,Gov,03,49
01 August 2013,Hawker Primary School,Gov,04,41
01 August 2013,Hawker Primary School,Gov,05,26
01 August 2013,Hawker Primary School,Gov,06,47
01 August 2013,Hughes Primary School,Gov,Preschool,39
01 August 2013,Hughes Primary School,Gov,Kindergarten,53
01 August 2013,Hughes Primary School,Gov,01,44
01 August 2013,Hughes Primary School,Gov,02,53
01 August 2013,Hughes Primary School,Gov,03,48
01 August 2013,Hughes Primary School,Gov,04,45
01 August 2013,Hughes Primary School,Gov,05,43
01 August 2013,Hughes Primary School,Gov,06,35
01 August 2013,Isabella Plains Early Childhood School,Gov,Preschool,82
01 August 2013,Isabella Plains Early Childhood School,Gov,Kindergarten,33
01 August 2013,Isabella Plains Early Childhood School,Gov,01,31
01 August 2013,Isabella Plains Early Childhood School,Gov,02,28
01 August 2013,Jervis Bay Primary School,Gov,Preschool,19
01 August 2013,Jervis Bay Primary School,Gov,Kindergarten,9
01 August 2013,Jervis Bay Primary School,Gov,01,8
01 August 2013,Jervis Bay Primary School,Gov,02,8
01 August 2013,Jervis Bay Primary School,Gov,03,2
01 August 2013,Jervis Bay Primary School,Gov,04,4
01 August 2013,Jervis Bay Primary School,Gov,05,8
01 August 2013,Jervis Bay Primary School,Gov,06,5
01 August 2013,Kaleen Primary School,Gov,Preschool,84
01 August 2013,Kaleen Primary School,Gov,Kindergarten,76
01 August 2013,Kaleen Primary School,Gov,01,72
01 August 2013,Kaleen Primary School,Gov,02,72
01 August 2013,Kaleen Primary School,Gov,03,73
01 August 2013,Kaleen Primary School,Gov,04,49
01 August 2013,Kaleen Primary School,Gov,05,78
01 August 2013,Kaleen Primary School,Gov,06,74
01 August 2013,Kingsford Smith School,Gov,Preschool,91
01 August 2013,Kingsford Smith School,Gov,Kindergarten,72
01 August 2013,Kingsford Smith School,Gov,01,69
01 August 2013,Kingsford Smith School,Gov,02,73
01 August 2013,Kingsford Smith School,Gov,03,70
01 August 2013,Kingsford Smith School,Gov,04,63
01 August 2013,Kingsford Smith School,Gov,05,58
01 August 2013,Kingsford Smith School,Gov,06,68
01 August 2013,Kingsford Smith School,Gov,07,88
01 August 2013,Kingsford Smith School,Gov,08,86
01 August 2013,Kingsford Smith School,Gov,09,87
01 August 2013,Kingsford Smith School,Gov,10,105
01 August 2013,Koori Preschool,Gov,Preschool,55
01 August 2013,Lake Tuggeranong College,Gov,09,2
01 August 2013,Lake Tuggeranong College,Gov,10,12
01 August 2013,Lake Tuggeranong College,Gov,11,402
01 August 2013,Lake Tuggeranong College,Gov,12,385
01 August 2013,Lanyon High School,Gov,07,99
01 August 2013,Lanyon High School,Gov,08,101
01 August 2013,Lanyon High School,Gov,09,123
01 August 2013,Lanyon High School,Gov,10,136
01 August 2013,Latham Primary School,Gov,Preschool,49
01 August 2013,Latham Primary School,Gov,Kindergarten,49
01 August 2013,Latham Primary School,Gov,01,38
01 August 2013,Latham Primary School,Gov,02,40
01 August 2013,Latham Primary School,Gov,03,33
01 August 2013,Latham Primary School,Gov,04,35
01 August 2013,Latham Primary School,Gov,05,38
01 August 2013,Latham Primary School,Gov,06,33
01 August 2013,Lyneham High School,Gov,07,262
01 August 2013,Lyneham High School,Gov,08,262
01 August 2013,Lyneham High School,Gov,09,293
01 August 2013,Lyneham High School,Gov,10,263
01 August 2013,Lyneham Primary School,Gov,Preschool,72
01 August 2013,Lyneham Primary School,Gov,Kindergarten,45
01 August 2013,Lyneham Primary School,Gov,01,44
01 August 2013,Lyneham Primary School,Gov,02,63
01 August 2013,Lyneham Primary School,Gov,03,48
01 August 2013,Lyneham Primary School,Gov,04,54
01 August 2013,Lyneham Primary School,Gov,05,39
01 August 2013,Lyneham Primary School,Gov,06,63
01 August 2013,Lyons Early Childhood School,Gov,Preschool,59
01 August 2013,Lyons Early Childhood School,Gov,Kindergarten,48
01 August 2013,Lyons Early Childhood School,Gov,01,23
01 August 2013,Lyons Early Childhood School,Gov,02,17
01 August 2013,Macgregor Primary School,Gov,Preschool,89
01 August 2013,Macgregor Primary School,Gov,Kindergarten,68
01 August 2013,Macgregor Primary School,Gov,01,76
01 August 2013,Macgregor Primary School,Gov,02,52
01 August 2013,Macgregor Primary School,Gov,03,55
01 August 2013,Macgregor Primary School,Gov,04,37
01 August 2013,Macgregor Primary School,Gov,05,49
01 August 2013,Macgregor Primary School,Gov,06,39
01 August 2013,Macquarie Primary School,Gov,Preschool,44
01 August 2013,Macquarie Primary School,Gov,Kindergarten,51
01 August 2013,Macquarie Primary School,Gov,01,46
01 August 2013,Macquarie Primary School,Gov,02,50
01 August 2013,Macquarie Primary School,Gov,03,41
01 August 2013,Macquarie Primary School,Gov,04,50
01 August 2013,Macquarie Primary School,Gov,05,40
01 August 2013,Macquarie Primary School,Gov,06,32
01 August 2013,Majura Primary School,Gov,Preschool,82
01 August 2013,Majura Primary School,Gov,Kindergarten,69
01 August 2013,Majura Primary School,Gov,01,77
01 August 2013,Majura Primary School,Gov,02,75
01 August 2013,Majura Primary School,Gov,03,77
01 August 2013,Majura Primary School,Gov,04,64
01 August 2013,Majura Primary School,Gov,05,72
01 August 2013,Majura Primary School,Gov,06,60
01 August 2013,Malkara School,Gov,Preschool,47
01 August 2013,Malkara School,Gov,Kindergarten,8
01 August 2013,Malkara School,Gov,01,14
01 August 2013,Malkara School,Gov,02,10
01 August 2013,Malkara School,Gov,03,12
01 August 2013,Malkara School,Gov,04,5
01 August 2013,Malkara School,Gov,05,3
01 August 2013,Malkara School,Gov,06,8
01 August 2013,Maribyrnong Primary School,Gov,Preschool,61
01 August 2013,Maribyrnong Primary School,Gov,Kindergarten,33
01 August 2013,Maribyrnong Primary School,Gov,01,27
01 August 2013,Maribyrnong Primary School,Gov,02,37
01 August 2013,Maribyrnong Primary School,Gov,03,27
01 August 2013,Maribyrnong Primary School,Gov,04,38
01 August 2013,Maribyrnong Primary School,Gov,05,28
01 August 2013,Maribyrnong Primary School,Gov,06,19
01 August 2013,Mawson Primary School,Gov,Preschool,49
