postcode,postcode1,suburb,centile,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2906-banks,2906,banks,89,1,86,ACT,0.74,Delivery Area,-35.522639,149.08098,3507765,2276.29,banks,banks,ACT,ACT,4557.739193
2906-conder,2906,conder,91,1,52,ACT,0.72,Delivery Area,-35.456295,149.094031,3623056,2393.04,conder,conder,ACT,ACT,4477.882633
2906-gordon,2906,gordon,96,1,22,ACT,0.77,Delivery Area,-35.450547,149.083449,0,0,gordon,gordon,ACT,ACT,0
2911-crace,2911,crace,94,1,39,ACT,0.79,Delivery Area,-35.218473,149.124813,3796309.5,2721.37,crace,crace,ACT,ACT,4125.922241
2911-mitchell,2911,mitchell,97,1,13,ACT,0.87,Delivery Area,-35.217487,149.141164,-,-,mitchell,mitchell,ACT,ACT,0
2912-gungahlin,2912,gungahlin,98,1,4,ACT,0.82,Delivery Area,-35.522639,149.08098,4318452.5,2281.27,gungahlin,gungahlin,ACT,ACT,5598.832117
2913-franklin,2913,franklin,95,1,32,ACT,0.75,Delivery Area,-35.201802,149.132349,4863321.5,2368.89,franklin,franklin,ACT,ACT,6072.056173
2913-ginninderra village,2913,ginninderra village,96,1,23,ACT,0.91,Delivery Area,-35.191111,149.084139,0,0,ginninderra village,ginninderra village,ACT,ACT,0
2913-ngunnawal,2913,ngunnawal,93,1,44,ACT,0.78,Delivery Area,-35.177716,149.106022,7359101,2109.83,ngunnawal,ngunnawal,ACT,ACT,10316.28443
2913-nicholls,2913,nicholls,90,1,69,ACT,0.78,Delivery Area,-35.190785,149.099951,5792333,2934.31,nicholls,nicholls,ACT,ACT,5838.401795
2913-palmerston,2913,palmerston,89,1,87,ACT,0.81,Delivery Area,-35.194578,149.114697,4037288,2241.69,palmerston,palmerston,ACT,ACT,5326.728284
2914-amaroo,2914,amaroo,87,1,99,ACT,0.79,Delivery Area,-35.170334,149.125877,4349604.5,2629.75,amaroo,amaroo,ACT,ACT,4891.953682
2914-bonner,2914,bonner,90,1,70,ACT,0.78,Delivery Area,-35.164311,149.13395,4655314,2541.11,bonner,bonner,ACT,ACT,5418.415445
2914-forde,2914,forde,92,1,47,ACT,0.83,Delivery Area,-35.164368,149.147539,3710452,3051.36,forde,forde,ACT,ACT,3596.502828
2914-harrison,2914,harrison,97,1,14,ACT,0.77,Delivery Area,-35.180788,149.144499,5920444,2515.06,harrison,harrison,ACT,ACT,6962.308929
